#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-05-11 11:00:00Z;54,8405;0;3
2018-05-12 11:00:00Z;33,46389;0;3
2018-05-13 11:00:00Z;29,58053;0;3
2018-05-14 11:00:00Z;33,34248;0;3
2018-05-15 11:00:00Z;34,04019;0;3
2018-05-16 11:00:00Z;31,78082;0;3
2018-05-17 11:00:00Z;22,90416;0;3
2018-05-18 11:00:00Z;17,80004;0;3
2018-05-19 11:00:00Z;16,68418;0;3
2018-05-20 11:00:00Z;17,69179;0;3
2018-05-21 11:00:00Z;25,82892;0;3
2018-05-22 11:00:00Z;24,2412;0;3
2018-05-23 11:00:00Z;19,76839;0;3
2018-05-24 11:00:00Z;19,05467;0;3
2018-05-25 11:00:00Z;19,05417;0;3
2018-05-26 11:00:00Z;18,24561;0;3
2018-05-27 11:00:00Z;18,29318;0;3
2018-05-28 11:00:00Z;19,13356;0;3
2018-05-29 11:00:00Z;18,93291;0;3
2018-05-30 11:00:00Z;21,65951;0;3
2018-05-31 11:00:00Z;23,28809;0;3
2018-06-01 11:00:00Z;21,93363;0;3
2018-06-02 11:00:00Z;19,28218;0;3
2018-06-03 11:00:00Z;17,81482;0;3
2018-06-04 11:00:00Z;16,73579;0;3
2018-06-05 11:00:00Z;13,48563;0;3
2018-06-06 11:00:00Z;10,26939;0;3
2018-06-07 11:00:00Z;8,977091;0;3
2018-06-08 11:00:00Z;8,748355;0;3
2018-06-09 11:00:00Z;8,914846;0;3
2018-06-10 11:00:00Z;9,006855;0;3
2018-06-11 11:00:00Z;8,872493;0;3
2018-06-12 11:00:00Z;8,695895;0;3
2018-06-13 11:00:00Z;7,838727;0;3
2018-06-14 11:00:00Z;9,41156;0;3
2018-06-15 11:00:00Z;38,3244;0;3
2018-06-16 11:00:00Z;46,53074;0;3
2018-06-17 11:00:00Z;24,48444;0;3
2018-06-18 11:00:00Z;16,65363;0;3
2018-06-19 11:00:00Z;74,81474;0;3
2018-06-20 11:00:00Z;44,86551;0;3
2018-06-21 11:00:00Z;21,40517;0;3
2018-06-22 11:00:00Z;14,81147;0;3
2018-06-23 11:00:00Z;11,34447;0;3
2018-06-24 11:00:00Z;10,75628;0;3
2018-06-25 11:00:00Z;14,64623;0;3
